word,mean,frequence,std,scores
patience,2.9,1555,0.3,"[3, 3, 2, 3, 3, 3, 3, 3, 3, 3]"
likely,-0.6,1539,0.489897949,"[0, 0, 0, -1, -1, -1, -1, 0, -1, -1]"
anyway,-0.1,1514,0.538516481,"[0, 0, 0, 0, 1, -1, 0, 0, 0, -1]"
complete,0,1496,0.447213595,"[0, 1, 0, 0, 0, 0, 0, -1, 0, 0]"
advice,2.6,1492,0.489897949,"[3, 3, 3, 2, 3, 2, 3, 2, 2, 3]"
opinion,0,1478,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
burn,-1.7,1421,0.781024968,"[-1, -1, -2, -2, -3, -2, -3, -1, -1, -1]"
quick,0.1,1388,0.538516481,"[-1, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
limit,-2.6,1383,0.489897949,"[-3, -3, -3, -3, -2, -3, -3, -2, -2, -2]"
simple,1.2,1379,0.748331477,"[2, 1, 2, 2, 0, 0, 1, 1, 2, 1]"
large,1.2,1319,0.6,"[2, 2, 1, 2, 0, 1, 1, 1, 1, 1]"
quite,-0.7,1294,0.640312424,"[-1, 0, -1, -1, -1, -2, 0, -1, 0, 0]"
resistance,-2.5,1288,0.5,"[-2, -3, -3, -2, -2, -3, -2, -2, -3, -3]"
influence,-0.4,1272,0.489897949,"[0, 0, -1, 0, 0, -1, -1, 0, 0, -1]"
potential,2,1267,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
whatever,-0.8,1228,0.4,"[-1, -1, -1, -1, -1, -1, -1, 0, 0, -1]"
power,1.3,1203,0.458257569,"[2, 1, 1, 2, 1, 2, 1, 1, 1, 1]"
wink,2.3,1191,0.640312424,"[2, 3, 1, 2, 2, 3, 2, 3, 2, 3]"
however,0,1185,0.632455532,"[0, -1, 0, 0, 0, 0, 1, 1, 0, -1]"
correctly,2.8,1173,0.6,"[3, 3, 3, 3, 3, 3, 3, 1, 3, 3]"
reliable,2.2,1169,0.6,"[2, 3, 3, 3, 2, 2, 1, 2, 2, 2]"
court,2.8,1157,0.6,"[4, 3, 2, 3, 2, 3, 2, 3, 3, 3]"
finally,1.3,1143,0.458257569,"[1, 1, 1, 2, 1, 2, 1, 2, 1, 1]"
patient,1.7,1114,0.640312424,"[1, 2, 2, 1, 2, 3, 2, 1, 2, 1]"
fact,1.3,1091,0.458257569,"[2, 2, 1, 1, 1, 2, 1, 1, 1, 1]"
rather,-0.6,1039,0.489897949,"[-1, 0, 0, 0, -1, -1, -1, 0, -1, -1]"
position,-0.5,1012,0.5,"[-1, 0, -1, -1, 0, 0, 0, -1, 0, -1]"
necessary,0.6,1002,0.489897949,"[0, 0, 1, 1, 0, 1, 1, 1, 0, 1]"
gold,2.6,1000,0.489897949,"[3, 2, 3, 3, 2, 3, 2, 3, 3, 2]"
aware,0.8,988,0.6,"[2, 1, 0, 0, 0, 1, 1, 1, 1, 1]"
minor,-0.4,985,0.489897949,"[0, -1, -1, 0, 0, -1, 0, 0, -1, 0]"
expensive,-1.1,981,0.538516481,"[-2, -1, 0, -1, -1, -2, -1, -1, -1, -1]"
wonder,3.2,978,0.6,"[3, 3, 4, 3, 2, 4, 3, 4, 3, 3]"
basically,-0.9,976,0.7,"[-2, 0, -1, 0, -1, 0, -1, -1, -1, -2]"
hot,1.9,975,0.538516481,"[1, 2, 2, 2, 2, 1, 2, 2, 3, 2]"
seem,-0.5,969,0.5,"[0, -1, 0, 0, -1, -1, 0, 0, -1, -1]"
comment,0.1,961,0.538516481,"[1, 0, 0, 0, 0, -1, 0, 0, 0, 1]"
deal,1.2,955,0.871779789,"[3, 0, 2, 1, 0, 1, 1, 1, 1, 2]"
fist,-0.9,952,0.538516481,"[-1, -1, -1, -1, -1, -1, -2, 0, 0, -1]"
difference,-0.9,934,0.538516481,"[-1, -1, -1, -1, -1, -2, -1, -1, 0, 0]"
victory,2.8,933,0.6,"[3, 3, 3, 3, 2, 4, 2, 3, 2, 3]"
massive,2.6,928,0.489897949,"[3, 2, 3, 3, 2, 3, 2, 3, 3, 2]"
touch,-0.3,903,0.458257569,"[0, 0, 0, 0, -1, 0, 0, -1, 0, -1]"
bug,-0.9,893,0.3,"[-1, -1, -1, -1, -1, -1, 0, -1, -1, -1]"
view,0.9,891,0.538516481,"[1, 1, 1, 0, 1, 1, 0, 1, 2, 1]"
further,-1,889,0.447213595,"[-1, -1, -1, -1, -1, -2, -1, -1, -1, 0]"
pro,2.8,887,0.6,"[3, 2, 3, 3, 4, 3, 2, 3, 3, 2]"
major,0.1,876,0.7,"[0, -1, 1, -1, 0, 1, 1, 0, 0, 0]"
recover,1.3,798,0.458257569,"[1, 1, 1, 1, 2, 1, 1, 1, 2, 2]"
suggest,1,796,0.774596669,"[0, 2, 1, 1, 0, 1, 2, 1, 0, 2]"
hmm,0.4,787,0.663324958,"[0, 1, 1, 0, 0, 1, -1, 1, 0, 1]"
baby,0.8,786,0.4,"[1, 1, 1, 0, 1, 1, 1, 0, 1, 1]"
indeed,0,776,0.774596669,"[-1, 1, 0, 0, 1, -1, 0, 0, 1, -1]"
decide,-0.5,775,0.5,"[0, -1, 0, 0, -1, -1, -1, 0, -1, 0]"
absolutely,0.6,762,0.663324958,"[1, 0, 0, 1, 1, 0, 1, 0, 2, 0]"
rare,-0.2,758,0.748331477,"[0, 1, -1, -1, -1, 0, 0, 0, -1, 1]"
obviously,-1.6,747,0.489897949,"[-2, -2, -2, -2, -1, -1, -2, -1, -2, -1]"
entire,-0.9,740,0.538516481,"[-2, 0, 0, -1, -1, -1, -1, -1, -1, -1]"
actual,0.3,716,0.781024968,"[0, 1, 0, 1, 0, 1, 1, 1, -1, -1]"
flash,-2.1,710,0.7,"[-1, -2, -3, -1, -2, -2, -3, -2, -2, -3]"
simply,0,706,0.632455532,"[1, -1, 0, 0, -1, 0, 1, 0, 0, 0]"
completely,-1.2,697,0.6,"[-2, -1, -1, -2, -1, -1, 0, -1, -2, -1]"
busy,-2.3,690,0.458257569,"[-2, -3, -3, -2, -2, -2, -2, -2, -3, -2]"
knew,-0.2,685,0.4,"[0, 0, 0, 0, 0, -1, 0, 0, -1, 0]"
immediately,1.5,675,0.5,"[2, 2, 2, 2, 1, 1, 1, 2, 1, 1]"
cold,-1.1,675,0.538516481,"[-2, -1, -1, -1, -1, -2, -1, -1, -1, 0]"
chill,-1.8,662,0.6,"[-1, -3, -2, -2, -2, -2, -2, -1, -1, -2]"
facts,0.6,659,0.489897949,"[0, 0, 1, 0, 1, 1, 1, 1, 0, 1]"
understanding,2.8,653,0.6,"[3, 4, 3, 3, 2, 3, 2, 3, 2, 3]"
afford,1.7,628,0.640312424,"[1, 2, 2, 2, 1, 1, 3, 2, 2, 1]"
realistic,3,601,0.447213595,"[3, 2, 3, 3, 3, 3, 3, 4, 3, 3]"
fully,-1.8,590,0.4,"[-2, -2, -2, -2, -2, -1, -2, -2, -1, -2]"
speculation,-1.2,583,0.4,"[-1, -2, -1, -1, -1, -1, -1, -1, -2, -1]"
kick,-2.9,578,0.538516481,"[-3, -3, -3, -2, -3, -2, -3, -3, -3, -4]"
exact,0.8,576,0.6,"[1, 1, 0, 2, 1, 1, 0, 0, 1, 1]"
thus,1,572,0.632455532,"[2, 2, 1, 0, 1, 1, 1, 0, 1, 1]"
prefer,2.3,569,0.458257569,"[2, 2, 3, 2, 3, 2, 3, 2, 2, 2]"
perhaps,0.8,562,0.4,"[0, 1, 0, 1, 1, 1, 1, 1, 1, 1]"
mostly,0.5,551,0.5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 1]"
deep,-1.9,549,0.3,"[-2, -1, -2, -2, -2, -2, -2, -2, -2, -2]"
feels,-0.1,546,0.7,"[-1, 0, -1, 1, 0, 0, -1, 0, 1, 0]"
sound,1.5,531,0.670820393,"[1, 2, 2, 0, 2, 2, 1, 2, 1, 2]"
dragon,-1.5,530,0.5,"[-2, -1, -1, -1, -1, -2, -2, -2, -1, -2]"
spot,-1.4,521,0.489897949,"[-1, -2, -2, -1, -1, -2, -2, -1, -1, -1]"
sleepy,0.8,517,0.748331477,"[0, 0, 2, 1, 0, 0, 2, 1, 1, 1]"
knowledge,0.3,506,0.458257569,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
bearish,-4,500,0,"[-4, -4, -4, -4, -4, -4, -4, -4, -4, -4]"
specific,0.4,493,0.663324958,"[0, 0, 0, 0, 0, 1, 0, 2, 1, 0]"
therefore,1.6,466,0.489897949,"[1, 2, 1, 2, 1, 2, 2, 2, 2, 1]"
afraid,-1.1,456,0.538516481,"[-2, -1, -1, -2, -1, -1, -1, -1, -1, 0]"
supposed,-1.1,455,0.3,"[-1, -1, -1, -2, -1, -1, -1, -1, -1, -1]"
dark,-1.8,453,0.6,"[-2, -2, -2, -1, -1, -2, -3, -1, -2, -2]"
genuine,2.2,453,0.4,"[3, 2, 2, 2, 2, 2, 2, 3, 2, 2]"
affect,-0.8,448,0.6,"[-1, -1, 0, -1, 0, -1, -1, -1, 0, -2]"
leverage,1.8,447,0.4,"[2, 2, 2, 2, 2, 1, 2, 1, 2, 2]"
uphold,2.3,438,0.458257569,"[2, 2, 2, 2, 2, 3, 3, 3, 2, 2]"
possibly,-1.7,431,0.458257569,"[-1, -2, -2, -2, -1, -2, -2, -2, -1, -2]"
learning,0.8,430,0.748331477,"[1, 1, 1, 1, 0, 0, 0, 0, 2, 2]"
willing,3.2,428,0.6,"[4, 3, 3, 4, 4, 3, 3, 3, 2, 3]"
steady,1.3,428,0.458257569,"[1, 1, 2, 2, 1, 1, 2, 1, 1, 1]"
trial,-1.7,423,0.458257569,"[-2, -2, -2, -1, -1, -2, -2, -2, -2, -1]"
basic,1,416,0.447213595,"[1, 2, 1, 1, 1, 1, 1, 0, 1, 1]"
unique,1.2,416,0.4,"[2, 1, 1, 1, 1, 1, 2, 1, 1, 1]"
content,1.8,414,0.6,"[2, 2, 2, 1, 2, 1, 2, 1, 2, 3]"
settle,0.7,413,0.640312424,"[0, 0, 1, 1, 0, 1, 2, 1, 0, 1]"
rid,-2.7,410,0.640312424,"[-2, -2, -2, -4, -3, -3, -2, -3, -3, -3]"
appear,-1.1,410,0.538516481,"[-1, -1, 0, -1, -2, -1, -1, -1, -1, -2]"
accurate,1,408,0.632455532,"[0, 1, 2, 1, 1, 1, 1, 2, 1, 0]"
stand,1.1,408,0.538516481,"[0, 1, 1, 2, 1, 1, 1, 1, 2, 1]"
holy,1.7,406,0.640312424,"[1, 2, 2, 2, 1, 1, 2, 2, 1, 3]"
plenty,2.7,404,0.640312424,"[2, 3, 4, 3, 3, 2, 3, 2, 3, 2]"
prove,0,401,0.632455532,"[1, 0, 0, -1, 0, 0, -1, 0, 1, 0]"
although,-0.9,401,0.538516481,"[-1, -1, -2, -1, 0, -1, -1, -1, 0, -1]"
frozen,-1.3,400,0.640312424,"[-1, -1, -2, -1, -1, -1, -1, -1, -1, -3]"
central,-0.4,394,0.663324958,"[0, -2, 0, -1, -1, 0, 0, 0, 0, 0]"
obvious,-0.2,391,0.6,"[0, 0, -1, 1, 0, -1, 0, -1, 0, 0]"
anyways,-0.9,390,0.538516481,"[-1, -1, -2, -1, 0, -1, -1, 0, -1, -1]"
blood,-2.2,386,0.871779789,"[-3, -2, -4, -1, -2, -2, -3, -1, -2, -2]"
suit,2.7,386,0.640312424,"[2, 3, 4, 2, 3, 3, 3, 2, 3, 2]"
apparently,0.2,384,0.4,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
