fact	1.3	0.45826	[2, 2, 1, 1, 1, 2, 1, 1, 1, 1]
rather	-0.6	0.48990	[-1, 0, 0, 0, -1, -1, -1, 0, -1, -1]
position	-0.5	0.50000	[-1, 0, -1, -1, 0, 0, 0, -1, 0, -1]
necessary	0.6	0.48990	[0, 0, 1, 1, 0, 1, 1, 1, 0, 1]
gold	2.6	0.48990	[3, 2, 3, 3, 2, 3, 2, 3, 3, 2]
aware	0.8	0.60000	[2, 1, 0, 0, 0, 1, 1, 1, 1, 1]
minor	-0.4	0.48990	[0, -1, -1, 0, 0, -1, 0, 0, -1, 0]
expensive	-1.1	0.53852	[-2, -1, 0, -1, -1, -2, -1, -1, -1, -1]
wonder	3.2	0.60000	[3, 3, 4, 3, 2, 4, 3, 4, 3, 3]
basically	-0.9	0.70000	[-2, 0, -1, 0, -1, 0, -1, -1, -1, -2]
hot	1.9	0.53852	[1, 2, 2, 2, 2, 1, 2, 2, 3, 2]
seem	-0.5	0.50000	[0, -1, 0, 0, -1, -1, 0, 0, -1, -1]
comment	0.1	0.53852	[1, 0, 0, 0, 0, -1, 0, 0, 0, 1]
deal	1.2	0.87178	[3, 0, 2, 1, 0, 1, 1, 1, 1, 2]
fist	-0.9	0.53852	[-1, -1, -1, -1, -1, -1, -2, 0, 0, -1]
difference	-0.9	0.53852	[-1, -1, -1, -1, -1, -2, -1, -1, 0, 0]
victory	2.8	0.60000	[3, 3, 3, 3, 2, 4, 2, 3, 2, 3]
massive	2.6	0.48990	[3, 2, 3, 3, 2, 3, 2, 3, 3, 2]
touch	-0.3	0.45826	[0, 0, 0, 0, -1, 0, 0, -1, 0, -1]
bug	-0.9	0.30000	[-1, -1, -1, -1, -1, -1, 0, -1, -1, -1]
view	0.9	0.53852	[1, 1, 1, 0, 1, 1, 0, 1, 2, 1]
further	-1.0	0.44721	[-1, -1, -1, -1, -1, -2, -1, -1, -1, 0]
pro	2.8	0.60000	[3, 2, 3, 3, 4, 3, 2, 3, 3, 2]
major	0.1	0.70000	[0, -1, 1, -1, 0, 1, 1, 0, 0, 0]
recover	1.3	0.45826	[1, 1, 1, 1, 2, 1, 1, 1, 2, 2]
suggest	1.0	0.77460	[0, 2, 1, 1, 0, 1, 2, 1, 0, 2]
hmm	0.4	0.66332	[0, 1, 1, 0, 0, 1, -1, 1, 0, 1]
baby	0.8	0.40000	[1, 1, 1, 0, 1, 1, 1, 0, 1, 1]
indeed	0.0	0.77460	[-1, 1, 0, 0, 1, -1, 0, 0, 1, -1]
decide	-0.5	0.50000	[0, -1, 0, 0, -1, -1, -1, 0, -1, 0]
absolutely	0.6	0.66332	[1, 0, 0, 1, 1, 0, 1, 0, 2, 0]
rare	-0.2	0.74833	[0, 1, -1, -1, -1, 0, 0, 0, -1, 1]
obviously	-1.6	0.48990	[-2, -2, -2, -2, -1, -1, -2, -1, -2, -1]
entire	-0.9	0.53852	[-2, 0, 0, -1, -1, -1, -1, -1, -1, -1]
actual	0.3	0.78102	[0, 1, 0, 1, 0, 1, 1, 1, -1, -1]
flash	-2.1	0.70000	[-1, -2, -3, -1, -2, -2, -3, -2, -2, -3]
simply	0.0	0.63246	[1, -1, 0, 0, -1, 0, 1, 0, 0, 0]
completely	-1.2	0.60000	[-2, -1, -1, -2, -1, -1, 0, -1, -2, -1]
busy	-2.3	0.45826	[-2, -3, -3, -2, -2, -2, -2, -2, -3, -2]
knew	-0.2	0.40000	[0, 0, 0, 0, 0, -1, 0, 0, -1, 0]
immediately	1.5	0.50000	[2, 2, 2, 2, 1, 1, 1, 2, 1, 1]
cold	-1.1	0.53852	[-2, -1, -1, -1, -1, -2, -1, -1, -1, 0]
chill	-1.8	0.60000	[-1, -3, -2, -2, -2, -2, -2, -1, -1, -2]
facts	0.6	0.48990	[0, 0, 1, 0, 1, 1, 1, 1, 0, 1]
understanding	2.8	0.60000	[3, 4, 3, 3, 2, 3, 2, 3, 2, 3]
afford	1.7	0.64031	[1, 2, 2, 2, 1, 1, 3, 2, 2, 1]
realistic	3.0	0.44721	[3, 2, 3, 3, 3, 3, 3, 4, 3, 3]
fully	-1.8	0.40000	[-2, -2, -2, -2, -2, -1, -2, -2, -1, -2]
speculation	-1.2	0.40000	[-1, -2, -1, -1, -1, -1, -1, -1, -2, -1]
kick	-2.9	0.53852	[-3, -3, -3, -2, -3, -2, -3, -3, -3, -4]
exact	0.8	0.60000	[1, 1, 0, 2, 1, 1, 0, 0, 1, 1]
thus	1.0	0.63246	[2, 2, 1, 0, 1, 1, 1, 0, 1, 1]
prefer	2.3	0.45826	[2, 2, 3, 2, 3, 2, 3, 2, 2, 2]
perhaps	0.8	0.40000	[0, 1, 0, 1, 1, 1, 1, 1, 1, 1]
mostly	0.5	0.50000	[1, 0, 0, 0, 1, 0, 1, 0, 1, 1]
deep	-1.9	0.30000	[-2, -1, -2, -2, -2, -2, -2, -2, -2, -2]
feels	-0.1	0.70000	[-1, 0, -1, 1, 0, 0, -1, 0, 1, 0]
sound	1.5	0.67082	[1, 2, 2, 0, 2, 2, 1, 2, 1, 2]
dragon	-1.5	0.50000	[-2, -1, -1, -1, -1, -2, -2, -2, -1, -2]
spot	-1.4	0.48990	[-1, -2, -2, -1, -1, -2, -2, -1, -1, -1]
sleepy	0.8	0.74833	[0, 0, 2, 1, 0, 0, 2, 1, 1, 1]
knowledge	0.3	0.45826	[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]
bearish	-4.0	0.00000	[-4, -4, -4, -4, -4, -4, -4, -4, -4, -4]
specific	0.4	0.66332	[0, 0, 0, 0, 0, 1, 0, 2, 1, 0]
therefore	1.6	0.48990	[1, 2, 1, 2, 1, 2, 2, 2, 2, 1]
afraid	-1.1	0.53852	[-2, -1, -1, -2, -1, -1, -1, -1, -1, 0]
supposed	-1.1	0.30000	[-1, -1, -1, -2, -1, -1, -1, -1, -1, -1]
dark	-1.8	0.60000	[-2, -2, -2, -1, -1, -2, -3, -1, -2, -2]
